Condition,Time,N,mean,sd
"Control_Crr_plus",788,24,-0.100916035473347,0.868641316890717
"Control_Crr_plus",792,24,-0.0569387562572956,0.882348954677582
"Control_Crr_plus",796,24,-0.00804038066416979,0.887111127376556
"Control_L5_plus",-200,24,-0.155921295285225,0.865376472473145
"Control_L5_plus",-196,24,-0.177123621106148,0.836056470870972
"Control_L5_plus",-192,24,-0.195913955569267,0.800031185150146
"Control_L5_plus",-188,24,-0.21160252392292,0.758700370788574
"Control_L5_plus",-184,24,-0.223761394619942,0.71425724029541
"Control_L5_plus",-180,24,-0.232176139950752,0.66961133480072
"Control_L5_plus",-176,24,-0.236883163452148,0.628312468528748
"Control_L5_plus",-172,24,-0.23808741569519,0.594401657581329
"Control_L5_plus",-168,24,-0.236150339245796,0.571988165378571
"Control_L5_plus",-164,24,-0.231592521071434,0.564379274845123
"Control_L5_plus",-160,24,-0.224936917424202,0.572931170463562
"Control_L5_plus",-156,24,-0.216731488704681,0.59621649980545
"Control_L5_plus",-152,24,-0.207484841346741,0.630143880844116
"Control_L5_plus",-148,24,-0.197567865252495,0.66903680562973
"Control_L5_plus",-144,24,-0.187252923846245,0.706670343875885
"Control_L5_plus",-140,24,-0.176637157797813,0.737187683582306
"Control_L5_plus",-136,24,-0.16572742164135,0.755635321140289
"Control_L5_plus",-132,24,-0.154408857226372,0.758286774158478
"Control_L5_plus",-128,24,-0.142438843846321,0.74306184053421
"Control_L5_plus",-124,24,-0.129547268152237,0.709790587425232
"Control_L5_plus",-120,24,-0.115477524697781,0.660685837268829
"Control_L5_plus",-116,24,-0.100007928907871,0.601037919521332
"Control_L5_plus",-112,24,-0.0829683989286423,0.53996604681015
"Control_L5_plus",-108,24,-0.0643446370959282,0.490771055221558
"Control_L5_plus",-104,24,-0.0442561991512775,0.468723267316818
"Control_L5_plus",-100,24,-0.0228936076164246,0.48332217335701
"Control_L5_plus",-96,24,-0.000589385628700256,0.530735015869141
"Control_L5_plus",-92,24,0.0222293809056282,0.597334921360016
"Control_L5_plus",-88,24,0.0450896210968494,0.668612897396088
"Control_L5_plus",-84,24,0.0675460621714592,0.733477234840393
"Control_L5_plus",-80,24,0.0892365202307701,0.784664988517761
"Control_L5_plus",-76,24,0.109885327517986,0.818151235580444
"Control_L5_plus",-72,24,0.129353627562523,0.832453727722168
"Control_L5_plus",-68,24,0.147605523467064,0.828426897525787
"Control_L5_plus",-64,24,0.164751693606377,0.808900892734528
"Control_L5_plus",-60,24,0.180993959307671,0.778298914432526
"Control_L5_plus",-56,24,0.196550205349922,0.742456793785095
"Control_L5_plus",-52,24,0.211621627211571,0.707892596721649
"Control_L5_plus",-48,24,0.226283073425293,0.680841505527496
"Control_L5_plus",-44,24,0.240396901965141,0.666112542152405
"Control_L5_plus",-40,24,0.253620594739914,0.665768265724182
"Control_L5_plus",-36,24,0.265365481376648,0.678814291954041
"Control_L5_plus",-32,24,0.274732232093811,0.702058613300323
"Control_L5_plus",-28,24,0.280643790960312,0.731477499008179
"Control_L5_plus",-24,24,0.281884074211121,0.763242542743683
"Control_L5_plus",-20,24,0.277156382799149,0.794413626194
"Control_L5_plus",-16,24,0.265295833349228,0.822998285293579
"Control_L5_plus",-12,24,0.245381414890289,0.847526729106903
"Control_L5_plus",-8,24,0.216915130615234,0.866836249828339
"Control_L5_plus",-4,24,0.179945155978203,0.879716455936432
"Control_L5_plus",0,24,0.135117530822754,0.884815871715546
"Control_L5_plus",4,24,0.083769328892231,0.880651772022247
"Control_L5_plus",8,24,0.0279179289937019,0.865903615951538
"Control_L5_plus",12,24,-0.0298739355057478,0.839706540107727
"Control_L5_plus",16,24,-0.0865796506404877,0.801978528499603
"Control_L5_plus",20,24,-0.138923212885857,0.753995537757874
"Control_L5_plus",24,24,-0.183748945593834,0.69879549741745
"Control_L5_plus",28,24,-0.218224510550499,0.641703426837921
"Control_L5_plus",32,24,-0.240188598632813,0.590473175048828
"Control_L5_plus",36,24,-0.248518764972687,0.554528892040253
"Control_L5_plus",40,24,-0.243249490857124,0.542243301868439
"Control_L5_plus",44,24,-0.225766196846962,0.556528270244598
"Control_L5_plus",48,24,-0.198911294341087,0.592852354049683
"Control_L5_plus",52,24,-0.166830167174339,0.641882061958313
"Control_L5_plus",56,24,-0.13485948741436,0.693857789039612
"Control_L5_plus",60,24,-0.109189532697201,0.741113483905792
"Control_L5_plus",64,24,-0.0963747501373291,0.77888560295105
"Control_L5_plus",68,24,-0.102853834629059,0.805188298225403
"Control_L5_plus",72,24,-0.134389534592628,0.820438981056213
"Control_L5_plus",76,24,-0.19552880525589,0.827166259288788
"Control_L5_plus",80,24,-0.289066106081009,0.829284846782684
"Control_L5_plus",84,24,-0.415552169084549,0.831108331680298
"Control_L5_plus",88,24,-0.573029100894928,0.836222290992737
"Control_L5_plus",92,24,-0.756868779659271,0.846494793891907
"Control_L5_plus",96,24,-0.959744215011597,0.861570000648499
"Control_L5_plus",100,24,-1.17198669910431,0.879083454608917
"Control_L5_plus",104,24,-1.38199508190155,0.895534336566925
"Control_L5_plus",108,24,-1.57677590847015,0.907374382019043
"Control_L5_plus",112,24,-1.74278676509857,0.911953270435333
"Control_L5_plus",116,24,-1.8668018579483,0.908049583435059
"Control_L5_plus",120,24,-1.93678998947144,0.896126747131348
"Control_L5_plus",124,24,-1.9427250623703,0.878303945064545
"Control_L5_plus",128,24,-1.87743699550629,0.857965171337128
"Control_L5_plus",132,24,-1.73723065853119,0.839214682579041
"Control_L5_plus",136,24,-1.52223920822144,0.825884699821472
"Control_L5_plus",140,24,-1.23669719696045,0.820479214191437
"Control_L5_plus",144,24,-0.888817012310028,0.823591113090515
"Control_L5_plus",148,24,-0.490366697311401,0.833738207817078
"Control_L5_plus",152,24,-0.0561973042786121,0.847885966300964
"Control_L5_plus",156,24,0.396594256162643,0.862433433532715
"Control_L5_plus",160,24,0.849665462970734,0.874037504196167
"Control_L5_plus",164,24,1.28442895412445,0.880345582962036
"Control_L5_plus",168,24,1.68311274051666,0.880394637584686
"Control_L5_plus",172,24,2.02979779243469,0.874684512615204
"Control_L5_plus",176,24,2.31129479408264,0.865272700786591
"Control_L5_plus",180,24,2.51784086227417,0.855770170688629
"Control_L5_plus",184,24,2.64359712600708,0.850934326648712
"Control_L5_plus",188,24,2.68685531616211,0.855757653713226
"Control_L5_plus",192,24,2.64995074272156,0.874281942844391
"Control_L5_plus",196,24,2.53894543647766,0.90825343132019
"Control_L5_plus",200,24,2.36307311058044,0.956385314464569
"Control_L5_plus",204,24,2.13405203819275,1.0145788192749
"Control_L5_plus",208,24,1.86520338058472,1.07684028148651
"Control_L5_plus",212,24,1.57048308849335,1.13653695583344
"Control_L5_plus",216,24,1.26363885402679,1.18727052211761
"Control_L5_plus",220,24,0.957314193248749,1.22360992431641
"Control_L5_plus",224,24,0.662375450134277,1.2416957616806
"Control_L5_plus",228,24,0.387357324361801,1.23970854282379
"Control_L5_plus",232,24,0.138132229447365,1.21833789348602
"Control_L5_plus",236,24,-0.0820859149098396,1.18096232414246
"Control_L5_plus",240,24,-0.272733956575394,1.13405930995941
"Control_L5_plus",244,24,-0.435555934906006,1.0870555639267
"Control_L5_plus",248,24,-0.574064791202545,1.0510847568512
"Control_L5_plus",252,24,-0.693028271198273,1.03657114505768
"Control_L5_plus",256,24,-0.797809600830078,1.0495228767395
"Control_L5_plus",260,24,-0.893695116043091,1.08877944946289
"Control_L5_plus",264,24,-0.985352456569672,1.14633584022522
"Control_L5_plus",268,24,-1.07630407810211,1.21048414707184
"Control_L5_plus",272,24,-1.16861093044281,1.26924538612366
"Control_L5_plus",276,24,-1.26272189617157,1.31248605251312
"Control_L5_plus",280,24,-1.35740172863007,1.33292210102081
"Control_L5_plus",284,24,-1.44987237453461,1.32645988464355
"Control_L5_plus",288,24,-1.53615808486938,1.29218208789825
"Control_L5_plus",292,24,-1.61143624782562,1.23242139816284
"Control_L5_plus",296,24,-1.6704615354538,1.15259420871735
"Control_L5_plus",300,24,-1.70807492733002,1.06112885475159
"Control_L5_plus",304,24,-1.71975767612457,0.969278812408447
"Control_L5_plus",308,24,-1.70199203491211,0.890369892120361
"Control_L5_plus",312,24,-1.65253257751465,0.837397396564484
"Control_L5_plus",316,24,-1.57071197032928,0.818808734416962
"Control_L5_plus",320,24,-1.45750653743744,0.834607303142548
"Control_L5_plus",324,24,-1.31550335884094,0.876771211624146
"Control_L5_plus",328,24,-1.14873731136322,0.934157013893127
"Control_L5_plus",332,24,-0.962387561798096,0.997072517871857
"Control_L5_plus",336,24,-0.762497186660767,1.05928444862366
"Control_L5_plus",340,24,-0.555550873279572,1.11785912513733
"Control_L5_plus",344,24,-0.348070710897446,1.17211294174194
"Control_L5_plus",348,24,-0.14626470208168,1.22251319885254
"Control_L5_plus",352,24,0.0443343818187714,1.26933813095093
"Control_L5_plus",356,24,0.219094768166542,1.31194829940796
"Control_L5_plus",360,24,0.3744937479496,1.34841072559357
"Control_L5_plus",364,24,0.508221626281738,1.37553608417511
"Control_L5_plus",368,24,0.619124293327332,1.38947212696075
"Control_L5_plus",372,24,0.707138061523438,1.38632941246033
"Control_L5_plus",376,24,0.773200929164886,1.36297476291656
"Control_L5_plus",380,24,0.8189976811409,1.31777620315552
"Control_L5_plus",384,24,0.84669440984726,1.25126099586487
"Control_L5_plus",388,24,0.85872745513916,1.1667286157608
"Control_L5_plus",392,24,0.857641041278839,1.07099151611328
"Control_L5_plus",396,24,0.845827996730804,0.975115418434143
"Control_L5_plus",400,24,0.825351238250732,0.894576370716095
"Control_L5_plus",404,24,0.797989070415497,0.84710031747818
"Control_L5_plus",408,24,0.765043020248413,0.845901072025299
"Control_L5_plus",412,24,0.727435827255249,0.89140123128891
"Control_L5_plus",416,24,0.685730755329132,0.970639288425446
"Control_L5_plus",420,24,0.6401646733284,1.06506311893463
"Control_L5_plus",424,24,0.590851962566376,1.15761840343475
"Control_L5_plus",428,24,0.537785947322845,1.235435962677
"Control_L5_plus",432,24,0.480983138084412,1.29006433486938
"Control_L5_plus",436,24,0.420553594827652,1.31706869602203
"Control_L5_plus",440,24,0.356754332780838,1.31579148769379
"Control_L5_plus",444,24,0.290055990219116,1.28917574882507
"Control_L5_plus",448,24,0.2211082726717,1.24355471134186
"Control_L5_plus",452,24,0.150695785880089,1.18845987319946
"Control_L5_plus",456,24,0.0797944590449333,1.13568449020386
"Control_L5_plus",460,24,0.009500402957201,1.0972136259079
"Control_L5_plus",464,24,-0.0590807609260082,1.08201551437378
"Control_L5_plus",468,24,-0.124854423105717,1.09271585941315
"Control_L5_plus",472,24,-0.18675971031189,1.12462949752808
"Control_L5_plus",476,24,-0.243835687637329,1.16787683963776
"Control_L5_plus",480,24,-0.295258641242981,1.21121621131897
"Control_L5_plus",484,24,-0.340361565351486,1.24487674236298
"Control_L5_plus",488,24,-0.378592640161514,1.26188123226166
"Control_L5_plus",492,24,-0.40956512093544,1.25864255428314
"Control_L5_plus",496,24,-0.433055281639099,1.23477649688721
"Control_L5_plus",500,24,-0.448884010314941,1.19265401363373
"Control_L5_plus",504,24,-0.457023710012436,1.13684165477753
"Control_L5_plus",508,24,-0.457577615976334,1.07341313362122
"Control_L5_plus",512,24,-0.450716286897659,1.00912415981293
"Control_L5_plus",516,24,-0.436765938997269,0.950414836406708
"Control_L5_plus",520,24,-0.416210293769836,0.90233588218689
"Control_L5_plus",524,24,-0.389675587415695,0.867636680603027
"Control_L5_plus",528,24,-0.357894629240036,0.846564114093781
"Control_L5_plus",532,24,-0.321773856878281,0.837521970272064
"Control_L5_plus",536,24,-0.282391399145126,0.838182330131531
"Control_L5_plus",540,24,-0.240939632058144,0.846349954605103
"Control_L5_plus",544,24,-0.198787376284599,0.860423624515533
"Control_L5_plus",548,24,-0.157325744628906,0.879324853420258
"Control_L5_plus",552,24,-0.117935188114643,0.901877284049988
"Control_L5_plus",556,24,-0.0820038542151451,0.926359415054321
"Control_L5_plus",560,24,-0.0507303737103939,0.950352847576141
"Control_L5_plus",564,24,-0.0251077767461538,0.970893383026123
"Control_L5_plus",568,24,-0.00591382011771202,0.984876275062561
"Control_L5_plus",572,24,0.00640910817310214,0.989642441272736
"Control_L5_plus",576,24,0.0117576355114579,0.98357230424881
"Control_L5_plus",580,24,0.0103815197944641,0.9665167927742
"Control_L5_plus",584,24,0.00280245090834796,0.940213739871979
"Control_L5_plus",588,24,-0.0101378252729774,0.908362925052643
"Control_L5_plus",592,24,-0.0272943172603846,0.876551151275635
"Control_L5_plus",596,24,-0.0474179871380329,0.851636707782745
"Control_L5_plus",600,24,-0.0691734924912453,0.840119421482086
"Control_L5_plus",604,24,-0.0912201702594757,0.846143901348114
"Control_L5_plus",608,24,-0.112321794033051,0.869859516620636
"Control_L5_plus",612,24,-0.131425991654396,0.907226741313934
"Control_L5_plus",616,24,-0.14772193133831,0.95149689912796
"Control_L5_plus",620,24,-0.160686358809471,0.995129942893982
"Control_L5_plus",624,24,-0.170107379555702,1.03128266334534
"Control_L5_plus",628,24,-0.176048561930656,1.05473339557648
"Control_L5_plus",632,24,-0.178882837295532,1.06222999095917
"Control_L5_plus",636,24,-0.179176688194275,1.05255663394928
"Control_L5_plus",640,24,-0.177614688873291,1.02657699584961
"Control_L5_plus",644,24,-0.174999237060547,0.987089037895203
"Control_L5_plus",648,24,-0.172078132629395,0.938560009002686
"Control_L5_plus",652,24,-0.169522747397423,0.886928796768188
"Control_L5_plus",656,24,-0.167870804667473,0.83898788690567
"Control_L5_plus",660,24,-0.167440995573998,0.801410138607025
"Control_L5_plus",664,24,-0.168299213051796,0.779284954071045
"Control_L5_plus",668,24,-0.17022792994976,0.774526178836823
"Control_L5_plus",672,24,-0.172794818878174,0.785384833812714
"Control_L5_plus",676,24,-0.175400242209435,0.807220816612244
"Control_L5_plus",680,24,-0.17732198536396,0.834114670753479
"Control_L5_plus",684,24,-0.177738174796104,0.86032909154892
"Control_L5_plus",688,24,-0.175833448767662,0.881283104419708
"Control_L5_plus",692,24,-0.170920118689537,0.893925368785858
"Control_L5_plus",696,24,-0.162423893809319,0.896737337112427
"Control_L5_plus",700,24,-0.149937435984612,0.88978236913681
"Control_L5_plus",704,24,-0.133333161473274,0.874689936637878
"Control_L5_plus",708,24,-0.112791359424591,0.85447371006012
"Control_L5_plus",712,24,-0.088701419532299,0.833334565162659
"Control_L5_plus",716,24,-0.0617286078631878,0.815971612930298
"Control_L5_plus",720,24,-0.0327759273350239,0.806711912155151
"Control_L5_plus",724,24,-0.00279397773556411,0.808076024055481
"Control_L5_plus",728,24,0.0271302163600922,0.819793403148651
"Control_L5_plus",732,24,0.0558512024581432,0.838918149471283
"Control_L5_plus",736,24,0.0823610201478004,0.860619962215424
"Control_L5_plus",740,24,0.105748437345028,0.879575848579407
"Control_L5_plus",744,24,0.125254586338997,0.89119565486908
"Control_L5_plus",748,24,0.140339240431786,0.892674624919891
"Control_L5_plus",752,24,0.150685533881187,0.883464813232422
"Control_L5_plus",756,24,0.156203076243401,0.865408003330231
"Control_L5_plus",760,24,0.157039180397987,0.84261828660965
"Control_L5_plus",764,24,0.153500273823738,0.820750892162323
"Control_L5_plus",768,24,0.146018385887146,0.805678308010101
"Control_L5_plus",772,24,0.135160073637962,0.801645457744598
"Control_L5_plus",776,24,0.121519707143307,0.809637486934662
"Control_L5_plus",780,24,0.105653174221516,0.8270143866539
"Control_L5_plus",784,24,0.0880862101912498,0.848614811897278
"Control_L5_plus",788,24,0.069279246032238,0.868641257286072
"Control_L5_plus",792,24,0.0495773367583752,0.882348954677582
"Control_L5_plus",796,24,0.029195761308074,0.887111127376556
